
Hyperleda Values

| Galaxy   |     RA      |     Dec     | Vt    |modbest| bri25 |logd25|logr25|Const|
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 24.46 ±0.05   | 0.780 ± 0.018   | 24.56 | TRGB     |51700 Conn+2012         | TRGB:Bellazzini2008    |
| 24.44         | 0.773           | 24.45 | TRGB     |51340 Lee+1993          | TRGB:Lee+1993          |
| 24.47 ±0.11   | 0.783 ± 0.041   | 24.48 | TRGB     |51332 Sakai+2004        | TRGB:Lee+1993          |
| 24.47 ±0.07   | 0.783 ± 0.026   | 24.56 | TRGB     |51319 McConnachie+2005  | TRGB:McConnachie+2005  |
| 24.37 ±0.08   | 0.748 ± 0.028   | 24.37 | TRGB     |51342 Rizzi+2007        | TRGB:Rizzi+2007        |
| 24.58 ±0.09   | 0.824 ± 0.037   | 24.58 | TRGB     |52052 Jacobs,+2009      | TRGB:Rizzi+2007        |
| 24.24 ±0.02(!)| 0.705 ± 0.007(!)| 24.20 | TRGB     |52052 Jacobs,+2009      | TRGB:Wu+2014:F110W     |
| 24.30 ±0.02(!)| 0.724 ± 0.007(!)| 24.26 | TRGB     |52052 Jacobs,+2009      | TRGB:Wu+2014:F160W     |
| 24.47 ±0.07   | 0.783 ± 0.026   | 24.47 | average  |51745 Holland1998       | |
| 24.58 ±0.09(p)| 0.824 ± 0.037(p)| 24.58 | TRGB     |51764 Jacobs+2009       | TRGB:Rizzi+2007        |
| 24.43(c)      | 0.770(c)        | 24.46 | Cepheids |51160 Karachentsev+2004 | Cepheids:Lanoix+1999   |
| 24.44 ±0.10(c)| 0.773 ± 0.036(c)| 24.40 | Cepheids |51350 Madore+1991       | Cepheids:Madore+1991   |
| 24.44 ±0.10(c)| 0.773 ± 0.036(c)| 24.44 | Cepheids |51384 Ferrarese+2000    | |
| 24.44(c)      | 0.773(c)        | 24.44 | Cepheids |51340 Lee+1993          | |
| 24.27(c)      | 0.714(c)        | 24.27 | Cepheids |52014 Tammann+2008      | |
| 24.42 ±0.12(c)| 0.766 ± 0.043(c)| 24.42 | Cepheids |51332 Sakai+2004        | |
| 24.36 ±0.13(c)| 0.745 ± 0.046(c)| 24.36 | PNLF     |51545 Ciardullo+2002    | |
| 24.60(c)      | 0.832(c)        | 24.60 | RRLyrae  |52014 Tammann+2008      | |
| 24.37(c)      | 0.748(c)        | 24.39 | TRGB     |51468 Mould+2008        | TRGB:I=-4.05           |
| 24.37 ±0.10(c)| 0.748 ± 0.035(c)| 24.37 | TRGB     |51766 Mould+2009        | |
| 24.46(c)      | 0.780(c)        | 24.46 | TRGB     |52014 Tammann+2008      | |
