
Hyperleda Values

| Galaxy   |     RA      |     Dec     | Vt    |modbest| bri25 |logd25|logr25|Const|
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
 |    0.76    Mpc |                       |redshift|2018MNRAS.479.4136K|
 |    0.708   Mpc |                       |redshift|2019A&A...631A..38L|
 |    0.76    Mpc |                       |T-RDB   |2017AJ....153....6K|
 |    0.73    Mpc |                       |        |2016AJ....152...50T|
 |    0.73    Mpc |  -0.07       +0.07    |        |2013AJ....146...86T|
 |  712       kpc | -19         +21       |T-RGB   |2012ApJ...758...11C|
 |    0.73    Mpc |                       |SBF     |2008ApJ...676..184T|
 |    4.11    Mpc |                       |redshift|2007ApJ...655..790C|

NGC 185:
 | distance Q unit|  err-        err+     | method |     reference     |
 |----------------|-----------------------|--------|-------------------|
 |    0.66    Mpc |                       |        |2024ApJ...966...25R|
 |    0.66    Mpc |                       |redshift|2018MNRAS.479.4136K|
 |    0.66    Mpc |                       |T-RDB   |2017AJ....153....6K|
 |    0.63    Mpc |                       |        |2016AJ....152...50T|
 |    0.7     Mpc |                       |        |2008MNRAS.389.1924F|
 |    0.63    Mpc |  -0.07       +0.07    |        |2013AJ....146...86T|
 |  620       kpc | -18         +19       |T-RGB   |2012ApJ...758...11C|
 |    0.63    Mpc |                       |SBF     |2008ApJ...676..184T|
 |    4.11    Mpc |                       |redshift|2007ApJ...655..790C|

M 32:
 | distance Q unit|  err-        err+     | method |     reference     |
 |----------------|-----------------------|--------|-------------------|
 |    0.79    Mpc |                       |redshift|2018MNRAS.479.4136K|
 |    0.79    Mpc |                       |T-RDB   |2017AJ....153....6K|
 |    0.78    Mpc |                       |        |2016AJ....152...50T|
 |    0.7     Mpc |                       |        |2008MNRAS.389.1924F|
 |    0.780   Mpc |                       |        |2008MNRAS.389.1924F|
 |    0.78    Mpc |  -0.08       +0.08    |        |2013AJ....146...86T|
 |    0.81    Mpc |                       |SBF     |2008ApJ...676..184T|
 |    0.78    Mpc |                       |        |2007ApJS..173..185G|

M 110:
 | distance Q unit|  err-        err+     | method |     reference     |
 |----------------|-----------------------|--------|-------------------|
 |    0.80    Mpc |                       |redshift|2018MNRAS.479.4136K|
 |    0.80    Mpc |                       |T-RDB   |2017AJ....153....6K|
 |    0.81    Mpc |                       |        |2016AJ....152...50T|
 |    0.7     Mpc |                       |        |2008MNRAS.389.1924F|
 |    0.81    Mpc |  -0.08       +0.08    |        |2013AJ....146...86T|
 |    0.76    Mpc |                       |T-RGB   |2008ApJ...676..184T|
 |    0.81    Mpc |                       |        |2007ApJS..173..185G|

M 31:
 | distance Q unit|  err-        err+     | method |     reference     |
 |----------------|-----------------------|--------|-------------------|
 |  761       kpc | -11         +11       |        |2021ApJ...920...84L|
 |    0.79    Mpc |                       |T-F     |2011ApJS..192....6L|
 |    0.77    Mpc |                       |redshift|2018MNRAS.479.4136K|
 |    0.82    Mpc |                       |T-RDB   |2017AJ....153....6K|
 |    0.77    Mpc |                       |        |2016AJ....152...50T|
 |  731       kpc | -30         +30       |Cep     |2015MNRAS.451..724W|
 |  797       kpc | -29         +29       |Cep     |2015MNRAS.451..724W|
 |    0.77    Mpc |  -0.06       +0.06    |        |2013AJ....146...86T|
 |  752       kpc | -27         +27       |CEP     |2012ApJ...745..156R|
 |  779       kpc | -18         +19       |T-RGB   |2012ApJ...758...11C|
 |    0.7     Mpc |                       |redshift|2011MNRAS.413..813C|
 |    0.78    Mpc |                       |Cep     |2008ApJ...676..184T|
 |    0.8     Mpc |  -0.1        +0.1     |T-F     |2008ApJ...676..184T|
 |    0.78    Mpc |                       |        |2007ApJS..173..185G|

Hyperleda Distances



And I:
| modulus       | distance        |modc   |  method  |  iref | bibref            | calib |
| 24.55 ±0.08   | 0.813 ± 0.031   | 24.55 | HB       | 51772 | Da Costa+1996 ||
| 24.49 ±0.11   | 0.791 ± 0.041   | 24.49 | RRLyrae  | 52265 | Martinez-Vazquez+2017 | RRLyrae:Marconi+2015           
| 24.54 ±0.10   | 0.809 ± 0.038   | 24.54 | RRLyrae  | 52265 | Martinez-Vazquez+2017 | RRLyrae:Martinez-Vazquez+2017:L
| 24.50 ±0.14   | 0.794 ± 0.053   | 24.50 | RRLyrae  | 52265 | Martinez-Vazquez+2017 | RRLyrae:Martinez-Vazquez+2017:L
| 24.31 ±0.05   | 0.728 ± 0.017   | 24.41 | TRGB     | 51700 | Conn+2012 |TRGB:Bellazzini2008 |
| 24.49 ±0.09   | 0.791 ± 0.033   | 24.59 | TRGB     | 52265 | Martinez-Vazquez+2017 | TRGB:Bellazzini2008            
| 24.56 ±0.09   | 0.817 ± 0.035   | 24.56 | TRGB     | 52265 | Martinez-Vazquez+2017 | TRGB:Martinez-Vazquez+2017     
| 24.36 ±0.07   | 0.745 ± 0.024   | 24.45 | TRGB     | 51319 | McConnachie+2005 | TRGB:McConnachie+2005|
| 24.52 ±0.09   | 0.802 ± 0.034   | 24.52 | TRGB     | 52265 | Martinez-Vazquez+2017 | TRGB:Rizzi+2007|
| 24.33 ±0.07   | 0.735 ± 0.024   | 24.33 | TRGB     | 51748 | McConnachie+2004 ||
| 24.32 ±0.05   | 0.731 ± 0.018   | 24.32 | TRGB     | 51747 | Conn+2011 ||
| 24.50 ±0.15   | 0.794 ± 0.057   | 24.50 | TRGB     | 51769 | Mould+1990 ||
| 24.51 ±0.08(p)| 0.798 ± 0.030(p)| 24.51 | RRLyrae  | 52263 | Skillman,+2017 | RLyrae:Marconi+2015 |
| 24.36 ±0.07(c)| 0.745 ± 0.024(c)| 24.36 | CMD      | 51307 | Kalirai+2010 ||
| 24.44(c)      | 0.773(c)        | 24.44 | RRLyrae  | 52014 | Tammann+2008 ||
| 24.44(c)      | 0.773(c)        | 24.44 | TRGB     | 52014 | Tammann+2008 ||
| 24.54(c)      | 0.810(c)        | 24.54 | TRGB     | 51160 | Karachentsev+2004 ||

And II:
| modulus       | distance        |modc   |  method  |iref | bibref            | calib |
| 23.83 ±0.42   | 0.583 ± 0.124   | 23.83 |CMD       |51774|Koenig+1993           | |
| 24.17 ±0.06   | 0.682 ± 0.019   | 24.17 |HB        |51773|Da Costa+2000         | |
| 24.16 ±0.10   | 0.679 ± 0.032   | 24.16 |RRLyrae   |52265|Martinez-Vazquez+2017 | RRLyrae:Marconi+2015 |
| 24.15 ±0.09   | 0.676 ± 0.029   | 24.15 |RRLyrae   |52265|Martinez-Vazquez+2017 | RRLyrae:Martinez-Vazquez+2017:L |
| 24.11 ±0.09   | 0.664 ± 0.028   | 24.11 |RRLyrae   |52265|Martinez-Vazquez+2017 | RRLyrae:Martinez-Vazquez+2017:L |
| 24.00 ±0.05   | 0.631 ± 0.015   | 24.10 |TRGB      |51700|Conn+2012             | TRGB:Bellazzini2008   |
| 24.08 ±0.12   | 0.655 ± 0.037   | 24.18 |TRGB      |52265|Martinez-Vazquez+2017 | TRGB:Bellazzini2008   |
| 24.17 ±0.12   | 0.682 ± 0.039   | 24.17 |TRGB      |52265|Martinez-Vazquez+2017 | TRGB:Martinez-Vazquez+2017  |
| 24.07 ±0.06   | 0.652 ± 0.018   | 24.16 |TRGB      |51319|McConnachie+2005      | TRGB:McConnachie+2005  |
| 24.10 ±0.12   | 0.661 ± 0.038   | 24.10 |TRGB      |52265|Martinez-Vazquez+2017 | TRGB:Rizzi+2007 |
| 24.05 ±0.06   | 0.646 ± 0.018   | 24.05 |TRGB      |51748|McConnachie+2004      | |
| 24.01 ±0.05   | 0.634 ± 0.015   | 24.01 |TRGB      |51747|Conn+2011             | |
| 24.17 ±0.07(p)| 0.682 ± 0.022(p)| 24.17 |RRLyrae   |52263|Skillman,+2017        | RRLyrae:Marconi+2015 |
| 24.07 ±0.06(c)| 0.652 ± 0.018(c)| 24.07 |CMD       |51307|Kalirai+2010          | |                                
| 24.15(c)      | 0.676(c)        | 24.15 |RRLyrae   |52014|Tammann+2008          | |                               
| 24.11(c)      | 0.664(c)        | 24.11 |TRGB      |52014|Tammann+2008          | |                                
| 24.16(c)      | 0.680(c)        | 24.16 |TRGB      |51160|Karachentsev+2004     | | 

And III:
| modulus       | distance        |modc   |  method  |iref | bibref            | calib |
| 24.36 ±0.08   | 0.745 ± 0.028   | 24.36 | RRLyrae  |52265|Martinez-Vazquez+2017 | RRLyrae:Marconi+2015 |
| 24.44 ±0.08   | 0.773 ± 0.029   | 24.44 | RRLyrae  |52265|Martinez-Vazquez+2017 | RRLyrae:Martinez-Vazquez+2017:L |
| 24.41 ±0.08   | 0.762 ± 0.029   | 24.41 | RRLyrae  |52265|Martinez-Vazquez+2017 | RRLyrae:Martinez-Vazquez+2017:L |
| 24.30 ±0.06   | 0.724 ± 0.020   | 24.40 | TRGB     |51700|Conn+2012             | TRGB:Bellazzini2008 |
| 24.30 ±0.19   | 0.724 ± 0.066   | 24.40 | TRGB     |52265|Martinez-Vazquez+2017 | TRGB:Bellazzini2008             |
| 24.37 ±0.19   | 0.748 ± 0.068   | 24.37 | TRGB     |52265|Martinez-Vazquez+2017 | TRGB:Martinez-Vazquez+2017      |
| 24.37 ±0.07   | 0.748 ± 0.025   | 24.46 | TRGB     |51319|McConnachie+2005      | TRGB:McConnachie+2005 |
| 24.35 ±0.19   | 0.741 ± 0.068   | 24.35 | TRGB     |52265|Martinez-Vazquez+2017 | TRGB:Rizzi+2007                 |
| 24.38 ±0.06(p)| 0.752 ± 0.021(p)| 24.38 | RRLyrae  |52263|Skillman,+2017        | RRLyrae:Marconi+2015 |
| 24.37 ±0.07(c)| 0.749 ± 0.025(c)| 24.37 | CMD      |51307|Kalirai+2010          | |
| 24.36(c)      | 0.745(c)        | 24.36 | RRLyrae  |52014|Tammann+2008          | |
| 24.39(c)      | 0.755(c)        | 24.39 | TRGB     |52014|Tammann+2008          | |
| 24.40(c)      | 0.760(c)        | 24.40 | TRGB     |51160|Karachentsev+2004     | |

And V:
| modulus       | distance        |modc   |  method  |iref | bibref            | calib |
 24.35 ±0.07         0.741 ± 0.024      24.45 TRGB   |51700|Conn+2012          | TRGB:Bellazzini2008 |
| 24.55 ±0.12   | 0.813 ± 0.046   | 24.62 | TRGB     |51290|Armandroff+1998    | TRGB:I=-4.00 |
| 24.44 ±0.08   | 0.773 ± 0.029   | 24.53 | TRGB     |51319|McConnachie+2005   | TRGB:McConnachie+2005 |
| 24.40 ±0.20   | 0.759 ± 0.073   | 24.40 | TRGB     |51617|Letarte+2009       | |                                   
| 24.53 ±0.20   | 0.805 ± 0.078   | 24.53 | TRGB     |22001|Zucker+2004        | |                                 
| 24.55(c)      | 0.813(c)        | 24.62 | TRGB     |51600|Tully+2008         | TRGB:I=-4.00 | 
| 24.54(c)      | 0.810(c)        | 24.61 | TRGB     |51160|Karachentsev+2004  | TRGB:I=-4.00 |
| 24.47(c)      | 0.783(c)        | 24.47 | TRGB     |52014|Tammann+2008       | |

And IX:
| modulus       | distance        |modc   |  method  |iref | bibref            | calib |
| 23.89 ±0.31   | 0.600 ± 0.092   | 23.99 | TRGB     |51700|Conn+2012          | TRGB:Bellazzini2008 | 
| 24.42 ±0.07   | 0.766 ± 0.025   | 24.51 | TRGB     |51319|McConnachie+2005   | TRGB:McConnachie+2005 |
| 24.48 ±0.20   | 0.787 ± 0.076   | 24.48 | TRGB     |22001|Zucker+2004        | |
| 24.42 ±0.39(c)| 0.765 ± 0.150(c)| 24.42 | TRGB     |51687|Collins+2010       | |
| 24.40(c)      | 0.759(c)        | 24.40 | TRGB     |52014|Tammann+2008       | |

And X:
| modulus       | distance        |modc   |  method  |iref | bibref            | calib |
| 24.01 ±0.07   | 0.634 ± 0.021   | 24.01 | HB       |51686|Brasseur+2011      | |
| 24.13 ±0.11   | 0.670 ± 0.035   | 24.23 | TRGB     |51700|Conn+2012          | TRGB:Bellazzini2008 |
| 24.12 ±0.10   | 0.667 ± 0.031   | 24.18 | TRGB     |51294|Zucker+2007        | TRGB:DaCosta+1990 |
| 24.34 ±0.10   | 0.738 ± 0.035   | 24.40 | TRGB     |51294|Zucker+2007        | TRGB:DaCosta+1990 |
| 24.23 ±0.12(c)| 0.701 ± 0.038(c)| 24.23 | CMD      |51307|Kalirai+2010 | |

IC 10:
| modulus       | distance        |modc |  method    |  iref | bibref            | calib |
| 24.85         | 0.933           | 24.85 | BS3B     | 51435 | Karachentsev+1993 |       |
| 25.20           1.096           | 25.20 | BS3R     | 51435 | Karachentsev+1993 |       |
| 24.30 ±0.14   | 0.724 ± 0.048   | 24.24 | PNLF     | 51565 | Kniazev+2008 |PNLF:Ciardullo+2002|
| 24.50 ±0.12   | 0.794 ± 0.045   | 24.50 | TRGB     | 52052 | Jacobs,+2009 |TRGB:Rizzi+2007|
| 24.50 ±0.12(p)| 0.794 ± 0.045(p)| 24.50 | TRGB     | 51764 | Jacobs+2009  |TRGB:Rizzi+2007|
| 24.10(c)      | 0.661(c)        | 24.10 | Cepheids | 51600 | Tully+2008   |Cepheids:unknown|
| 24.10 ±0.19(c)| 0.661 ± 0.060(c)| 24.10 | Cepheids | 51384 | Ferrarese+2000    |      |
| 24.10(c)      | 0.660(c)        | 24.10 | Cepheids | 51160 | Karachentsev+2004 |      |
| 23.56(c)      | 0.515(c)        | 23.56 | TRGB     | 52014 | Tammann+2008      |      |

NGC 147:
| modulus       | distance        |modc |  method    |iref | bibref          | calib |
|  24.06        | 0.649           | 24.11 | RRLyrae  |51340|Lee+1993         |RRLyrae:Lee+1990 |
| 24.44 ±0.16   | 0.773 ± 0.059   | 24.38 | SBF      |50006|Tonry+2001       |SBF:Tonry+2000 |
| 24.26 ±0.06   | 0.711 ± 0.020   | 24.36 | TRGB     |51700|Conn+2012        |TRGB:Bellazzini2008 |
| 24.18 ±0.19   | 0.685 ± 0.063   | 24.20 | TRGB     |51766|Mould+2009       |TRGB:I=-4.05  |
| 24.13         | 0.670           | 24.14 | TRGB     |51340|Lee+1993         |TRGB:Lee+1993 |
| 24.15 ±0.09   | 0.676 ± 0.029   | 24.24 | TRGB     |51319|McConnachie+2005 |TRGB:McConnachie+2005 |
| 24.39 ±0.11   | 0.755 ± 0.039   | 24.39 | TRGB     |52052|Jacobs,+2009     |TRGB:Rizzi+2007 |
| 24.39 ±0.11(p)| 0.755 ± 0.039(p)| 24.39 | TRGB     |51764|Jacobs+2009      |TRGB:Rizzi+2007 |
| 24.20(c)      | 0.692(c)        | 24.20 | RRLyrae  |52014|Tammann+2008     | |
| 24.32(c)      | 0.731(c)        | 24.32 | SBF      |51600|Tully+2008       |SBF:unknown |
| 24.27(c)      | 0.714(c)        | 24.27 | TRGB     |52014|Tammann+2008     | |
| 24.40(c)      | 0.760(c)        | 24.40 | TRGB     |51160|Karachentsev+2004| |

NGC 185:
| modulus       | distance        |modc |  method    |iref | bibref           | calib |
| 24.01         | 0.634           | 24.06 | RRLyrae  |51340|Lee+1993          |RRLyrae:Lee+1990      |
| 24.02 ±0.16   | 0.637 ± 0.049   | 23.96 | SBF      |50006|Tonry+2001        |SBF:Tonry+2000        |
| 23.96 ±0.07   | 0.619 ± 0.020   | 24.06 | TRGB     |51700|Conn+2012         |TRGB:Bellazzini2008   |
